,language
37,astpath pypi astpath pæθ command line utility query python ast xpath syntax ⅰⅰ. well way search codebase example usage find usage eval builtin bash astpath .//call func name[@id='eval head ./rlcompleter.py:136 thisobject eval(expr self.namespace ./warnings.py:176 cat eval(category ./rexec.py:328 return eval(code m.__dict ./pdb.py:387 func eval(arg ./pdb.py:760 return eval(arg self.curframe.f_global find number bash astpath .//num head ./docxmlrpcserver.py:31 ./docxmlrpcserver.py:41 ./docxmlrpcserver.py:57 elif text[end end+1 ./docxmlrpcserver.py:82 args[1 ./docxmlrpcserver.py:96 argspec object[0 argspec ... assign variable bash astpath .//num[not(ancestor::assign head ./docxmlrpcserver.py:41 ./docxmlrpcserver.py:57 elif text[end end+1 ./docxmlrpcserver.py:201 assert find method self.function ./docxmlrpcserver.py:237 self.send_response(200 ./docxmlrpcserver.py:252 logrequests=1 allow_none false encode ... great 1000 bash astpath .//num[not(ancestor::assign number(@n 1000 head ./decimal.py:959 return 314159 ./fractions.py:206 def limit_denominator(self max_denominator=1000000 ./pty.py:138 return os.read(fd 1024 ./whichdb.py:94 magic 0x13579ace 0x13579acd 0x13579acf ./whichdb.py:94 magic 0x13579ace 0x13579acd 0x13579acf find name longer character bash astpath //name[string length(@id ./site package setuptool patch_distribution_metadata_write_pkg_info ./site package setuptool command updat clear_and_remove_cached_zip_archive_directory_data ./test module areallylongpackageandmodulenametotestreprtruncation ./test mepbase testmutuallyexclusiveoptionalsandpositionalsmixed find clause raise different exception class catch bash astpath //excepthandler[body//raise exc//name not(contains(body//raise exc//name/@id type name/@id head ./hashlib.py:144 importerror ./plistlib.py:89 keyerror ./plistlib.py:103 keyerror ./nntplib.py:868 valueerror ./argparse.py:1116 keyerror find beginning unreachable code block bash astpath //body/*[preceding sibling::return precede sibling::raise][1 ./unittest test testmock class foo(object ./test yield ./test def create_and_do_getcwd(dirname current_path_length find candidate replacement sum bash astpath //for body[augassign add count(child::*)=1 head ./functools.py:374 item sorted_item ./functools.py:375 key item ./statistics.py:177 sorted(partials.items ./statistics.py:178 total fraction(n ./pstats.py:512 call callers.value ./pstats.py:513 call finding class match regular expression bash astpath //classdef[re match('.*var @name head ./typing.py:452 class typevar(_typingbase root true ./typing.py:1366 class classvar(_finaltypingbase root true ./tkinter/__init__.py:287 class variable ./tkinter/__init__.py:463 class stringvar(variable ./tkinter/__init__.py:485 class intvar(variable astpath import programmatically python astpath import search len(search //print print_matche false number print statement codebase 751 installation recommend astpath instal optional lxml dependency allow use xpath query language pip install astpath[xpath alternatively dependency version python builtin xpath subset instal pip install astpath astpath support python 2.7 3.x link green tree latest/ readable overview python ast official ast module documentation python 2.7](https://docs.python.org/2.7 library ast.html python 3.x](https://docs.python.org/3 library ast.html python ast explorer](https://python ast work example ast brief guide xml xpath_syntax.asp hchasestevens bellybutton fully featured linting engine build astpath contact chase twitter @hchasestevens](https://twitter.com hchasestevens
38,
39,juju act juju act juju plugin improve action command line user experiece operate synchronously combine build run action action output command plugin support juju 1.25 juju 2.0 future version juju gain --wait argument run action command expect plugin simply wrap backwards compatibility work track todo run action leader service specific unit run action unit service output exit code need combine run parallel fast serially roll upgrade user choice support juju act maintain launchpad stuart bishop bug report main juju mailing list code find git
40,compiler client test root folder repository simple run compiler test submit submissions simply run compiler submit /path repo simply compiler submit root folder repo define submisson tag --tag your_tag random generate define use new tag new submission submission create new gitlab issue track progress
41,
42,|pyautoupdate_logo| pyautoupdate auto update api python program |build_status| |codecov_status| |quantifiedcode_status| |landscapeio_status| |gitter_badge| advantages ---------- module write pure python compiler necessary installation simplify installation windows python support pyautoupdate work pypy pypy3 installation ------------ code block bash pip install pyautoupdate dependency ------------ core dependency ~~~~~~~~~~~~~~~~~ python 2.6 python 3.3 request retrieving update version setuptool archive manipulation version comparison development dependencies ~~~~~~~~~~~~~~~~~~~~~~~~ pytest run test coverage measure coverage pylint local code style check sphinx build documentation license ------- lgpl 2.1 |pyautoupdate_logo| image alt pyautoupdate logo |build_status| image target alt travis result |codecov_status| image target alt codecov coverage measurement |quantifiedcode_status| image target alt quantifiedcode issue |landscapeio_status| image target alt code health |gitter_badge| image alt join chat target
43,"sqllogformatter python log formatter subclass message sql query package intend use development production demo python import log handler log streamhandler sqllogformatter import sqllogformatter formatter sqllogformatter(fmt='%(asctime)s\n%(message)s\n handler.setformatter(formatter logger logging.getlogger('demo logger.setlevel(logging.debug logger.addhandler(handler select person.age age person.height height person.address address person person.age like cal% 2016 12:32:50,233 file /users/ ... /ptpython line module sys.exit(run ... snip ... file /users/ ... /ptpython line 113 execute result eval(code self.get_global self.get_local file stdin line module select person.age age person.height height person.address address person person.age like cal% thing notice query format neatly allow copy paste tool analysis stack frame give time query generate mean example use sqlalchemy echo true mode location code generate query query colorize colorized sql query](colorsql.png color run cycle pin single color affect color sequence check constructor demonstrate bit clearly let turn stack dumper run query python formatter sqllogformatter(fmt='%(asctime)s\n%(message)s\n include_stack_info false handler.setformatter(formatter cycle color time new query logged](allcolors.png benefit have color cycle easy track different query scroll forwards backwards large list log message course turn color pass colorcycle constructor finally worth point want set logging.yaml file look like yaml version formatter query format asctime)-15s levelname)-6s name)s.%(funcname)s\n\n%(message)s sqllogformatter sqllogformatt handler sqlconsole class logging streamhandler level info formatter query stream ext://sys.stdout logger sqlalchemy.engine handler sqlconsole level info propagate root level notset handler console important bit sqllogformatter sqllogformatter tell log dictconfig use custom formatter object implementation usual discover implementation minute upload pypi look great"
44,python source code obfuscator obscure string integer installation git clone strint python2 install pip install strint pip 1.4.5 old version pip2 install strint issue basic usage strint str int strint --obf filename strint --help help usage strint --stdout|--exec str|int ... --infile file --obf|--only strint --outfile file --with space --eval --debug|--verbose simple str int obfuscator positional argument str int string integer optional argument --help help message exit --version program version number exit --infile file specify file process --outfile file save result file --with space generate output string space --obf --rand --remove blank --ignore comment --indent --only strint default indentation ... --only strint obfuscate string integer --encode convert string integer obfuscate --stdout add print function output string --exec output executable script additional --only string option call --rand add random statement source code --indent indent indentation use --remove blank remove blank line instead obfuscate --ignore comment remove block comment verbosity simulation --eval try run output experimental --verbose verbose debug --debug enable debug mode
45,networkdisk aim provide generic class manupulate graphs network disk final goal provide compatibility networkx tool dedicate perform search graph store local remote disk evaluate complex query interface disk database order class versatile simple use define abstract class overload method dedicate handle specific ondisk technology example include naive implementation ram sqlite local implementation postgresql implementation cassandra distribute implementation todo efficient database implement abstract function acceptable performance tuning dedicated work index datum representation efficiency package heavily rely implementation postgresql implementation package inherit acid transaction concurrent access graph client package provide example generic implementation sql method improve search todo support query language graphs abstraction method search searches graphs intensive task come large graphs method exist index datum order find path subgraph node furthermore search restrict filter automaton aggregation todo data label node package search return intermediate data structure call multilayereddag multilayereddag easy linear compute path enumerate short path count number path embedding todo networkdisk package offer method compute topology call embedding give network computation intensive require lot ram suitable dynamic graphs perform directly disk maintain update embedding available possible improve search graph good search like algorithm embedding guide search efficiently answer regular path query large graphs guide search distance embedding graph embedding precompute quasi linear time space independently regular query todo list todo abstract class todo remove_embedding_from_node remove_embedde embeddedgraph add type edge multiegde maybe extend graph import rdf add landmark maintenance new node todo introduce kind embedding todo care property value type todo bulk loading implementation todo add embeddeddatagraph need embeddeddatagraph merge data graph embeddedgraph specific method useful datum biais random_walk datum biais landmark computation todo sqlish implementations implement disk embed computation landmark embedding magnet ondisk implementation word2vec exist todo implement function sql local database instead python version possible todo/ use edge node property pass init perform bulkload desactivate index load datas add index todo sqlite implementation look sqlite extension allow deal nice datum type i.e. maybe indexation json document management default sqlite script external module add table degree todo postgresql implementation postgresql todo distant embedding search computation use json_b indexation use full_text_search index todo multilayerdag exctract root root betweeness centrality nodes short path root root go node linear multilayerdag multilateral breath search todo merge bilatéral bfs multilateral bfs
46,-*- mode rst -*- |travis| |appveyor| |codecov| |circleci| |readthedocs| |travis| image travis |appveyor| image appveyor |codecov| image codecov |circleci| image circleci |readthedocs| image readthedocs scikit learn fuzzy rough learn fuzzy rough learn package scikit learn extension fuzzy rough machine learning documentation ------------- documentation locate dependency ------------ fuzzy rough learn require python 3.7 follow package scipy 1.1.0 numpy 1.15.0 scikit learn 0.20.0
47,"django settings resolver image target image target image target image target siple way resolve datum define setting easy use python code django project exposese templatetag django template engine jinja template enjine easy use template example better understand work install -------------- install pip install django configuration ------------- add app instal app define setting code:`sr variable dictionary example code block python footer phone +34 987654321 address foo bar street other_text text parameter header logo alt logo image src usage example -------------- use directly code code block python import logo_alt sr('header.logo.alt logo image other_text sr('footer.other_text parameter text parameter parameter django template template tag code block django load span class=""phone"">{% footer.phone /span span class=""other"">{% footer.other_text text /span use jinja template global function code block jinja span class=""phone sr('footer.phone /span span class=""other sr('footer.other_text text /span jinja template integration django need use django jinja"
48,
49,|travis| |coveralls| |pypi| |womm| |travis| image travis |coveralls| image coverall |pypi| image pypi |womm| image womm oyaml oyaml drop replacement pyyaml preserve dict ordering python python support pip install oyaml import show code block python import oyaml yaml longer annoy screw mapping dump loading
50,welcome pyptf build status](https://travis spadarian pyptf.svg?branch master)](https://travis spadarian pyptf framework develop pedotransfer wiki pedotransfer_function genetic programming pedotransfer function model predict soil property base easy measure soil property traditionally pedotransfer function represent expression formula symbolic wiki symbolic_regression great alternative develop project possible great trevorstephen gplearn library implement symbolic regression trevor word symbolic regression machine learn technique aim identify underlying mathematical expression best describe relationship begin build population naive random formula represent relationship know independent variable dependent variable target order predict new datum successive generation program evolve come select fit individual population undergo genetic operation uncertainty natural system complex model try represent uncertainty library implement method represent report uncertainty base fuzzy wiki fuzzy_clustering
51,
52,"ftw.label plone addon label container folder example mark label container label container set label color define item whithin container support labelling label label screenshot ----------- manage label label container ilabeljar image set label content ilabelsupport image installation ------------ add ftw.label buildout configuration code rst instance egg ftw.labels install generic setup profile ftw.label usage integration ------------------- add ilabeljar marker interface container class want code xml class class=""product atcontenttypes.content.folder atfolder implement interface=""ftw.labels.interfaces ilabelroot /class object provide ilabeljar left column portlet add root plone site allow manage label add ilabelsupport marker interface item want able set label code xml class class=""plone.app.blob.content atblob implement interface=""ftw.labels.interfaces ilabelsupport /class object provide ilabelsupport right column portlet add root plone site allow manage label add ilabeljarchild marker interface container class display label store parent ilabeljar code xml class class=""product atcontenttypes.content.folder atfolder implement interface=""ftw.labels.interface ilabeljarchild /class object provide ilabeljarchild manage store label define ilabeljar content define new ilabelroot uninstall --------- package provide uninstall mechanism use plone addon control panel portal_quickinstaller uninstall package link ----- github issue pypi continuous integration copyright --------- package copyright 4teamwork ftw.label license gnu general public license version changelog 2.0.0 2019 ------------------ replace string list parameter ilabele pers_update method sgeulette 1.3.1 2018 ------------------ add upgrade step migrate 1.2.x version 1.3.1 transform persistentlist persistentmapping add by_user key false jar anuyens 1.3.0 2018 ------------------ label set user user globally sgeulette 1.2.1 2018 ------------------ set applyprefix=""true resource++ftw.labels select2.css cssregistry.xml gbastien 1.2.0 2018 ------------------ add french translation gbastien redirect http_referer instead context.absolute_url label add labejar portlet gbastien display edit label title hover edit label icon gbastien 1.1.1 2017 ------------------ fix labeljar portlet use ftw.table javascript ftw.table-integration execute ftw.table elioschmutz 1.1.0 2016 ------------------ add statusmessage instead raise error user choose title new lable elioschmutz fix portelt structure adjust plone default structure elioschmutz add ilabeljarchild interface inherit label parent ilabeljar elioschmutz label configuration button permit user elioschmutz redirect referer update label jar referer usually form submit change jone 1.0.2 2014 ------------------ hide portlet unprivileged user label jone 1.0.1 2014 ------------------ fix edit label link permission check label jar portlet jone fix edit link permission check labeling viewlet jone 1.0.0 2014 ------------------ initial implementation elioschmutz jone"
53,dask dask library distributed parallel machine learning dask documentation image target alt status dask documentation
54,weather wrapper api django install ------- pip install django_weather_darksky add django_weather_darksky installed_apps add api key dwd_api_key 1234567890 dwd_lang python migrate add location django admin interface usage ----- python load_forecast add crontab example 0/30 /var www site venv bin python /var www site load_forecast --type currently /var www site venv bin python /var www site load_forecast --type daily api django_weather_darksky import api api darkskyapi(api_key api.set_location(56.0083 92.8706 print(api.get_forecast print(get_currently().temperature api.set_location(55.75 37.6166 print(get_daily django django import template django_weather_darksky.model import weatherforecast register template library @register.inclusion_tag('django_weather_darksky informer.html takes_context true def weather_current(context location current weather informer datum weatherforecast.objects.filter(location__slug location forecast_type='currently').last return datum datum
55,pydriver image doc/_images/000019_front.png pydriver pydriver python 2.7 3.x framework training evaluate object detector classifier road traffic environment aim researcher experiment learn base object detection classification tracking pydriver pydriver help follow task read datum standard dataset currently integrate kitti reconstruct scene stereo image detect remove ground plane restrict viewport etc detect keypoint extract feature descriptor train classifier available scikit learn support vector machine decision tree visualize point cloud extract keypoint detection point cloud library evaluate produce detection respect dataset ground truth course write module enhancement interface custom dataset implement novel feature descriptor point pydriver provide basic pipeline object detection enhance algorithm reimplemente routine stuff licence pydriver use pydriver subject mit licence install pydriver pydriver installation documentation doc pydriver documentation source current development version available history project emerge student research project studienarbeit karlsruhe institute technology kit thesis write german available pydriver entwicklung eine frameworks für räumliche detektion und klassifikation von objekten fahrzeugumgebung publicly available pydriver release miss original feature pydriver distribute mit licence reproduce publish result citation software research cite code tex @mastersthesis{thesisstudienarbeitplotkin author leonard plotkin title pydriver entwicklung eine frameworks für räumliche detektion und klassifikation von objekten fahrzeugumgebung school karlsruhe institute technology type bachelor thesis studienarbeit address germany month mar year 2015 url
56,package contain annotation adapter zope content object allow rate object adapter include viewlet come originally appear world cookery application demo application philipp von weitershausen book web component development zope change 3.9 2007 ---------------- work zope 3.4 egg 2.0 2007 ---------------- initial release separate package base example source code wcd 2nd
57,
58,这是一个基于logging模块封装的操作日志的模块
59,flask bootstrapper simple flask project generator create blueprint schema base scalable file architecture use generator bash create new virtualenv auto_generated_flask python venv auto_generated_flask install flask bootstrapper pip install flask_bootstrapper execute
60,djorm ext pool api2 connection poolle django description ----------- simple application use excellent sqlalchemy connection pool incorporate django work base note currently test postgresql theory work perfectly mysql sqlite3 install -------------- run python install install place djorm_pool python path install pip install djorm ext pool use ----------- simple djorm_pool installed_apps setting code block python installed_apps djorm_pool ... add option sqlalchemy connection pool add setting djorm_pool_option example code block python djorm_pool_options pool_size max_overflow recycle 3600 default value activate pessimistic connection handle djorm_pool_pessimistic code block python setting checkout connection pool execute additional query check connection state djorm_pool_pessimistic true image alt bitdeli badge target
61,
62,pants apache2 license build tool write python late documentation find pantsbuild 1.22.x stable release document describe release lead 1.22.x stable series 1.22.0 11/14/2019 ------------------------ stable release 1.22.x series change previous 1.22.0rc2 11/08/2019 ------------------------ new feature ~~~~~~~~~~~~ add zinc outline support 8560 8560 render cyclic path node error avoid --print exception stacktrace 8422 8422 bugfixes ~~~~~~~~ fix fingerprint dict file 8569 8569 refactoring improvements tooling ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ rust nail client local hermetic nailgun execution 8564 8564 implement nailgun hermetic execution 8371 8371 1.22.0rc1 11/01/2019 ------------------------ api changes ~~~~~~~~~~~ allow user override compile.rsc workflow env var add --allow public inference option 8537 8537 add workflow option -youtline outliner 8427 8427 bugfixes ~~~~~~~~ revert squashed commit follow 8302 8551 8551 add lock bootstrap compiler bridge jar 8535 8535 fix assertion hydrate_missing_directory_digest 8534 8534 fix zinc jar miss digest double check cache hit 8532 8532 ensure node build product add classpath snapshotte 8514 8514 avoid globbe jdk home symlink 8484 8484 pin cryptography lib 2.7 8515 8515 refactoring improvements tooling ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ increase client count sync bootstrappe file 8536 8536 rust test file 8512 8512 digest deserialize serialize 8497 8497 1.22.0rc0 10/20/2019 ------------------------ new feature ~~~~~~~~~~~~ add duration job prep calculate critical path 8441 8441 resolve requirement pythonrequirementlibrary target setup_require python_dist 8442 8442 bugfixes ~~~~~~~~ fix nameerror exceptionsink.trapped_signals .reset_signal_handler raise 8482 8482 fix undigeste m.jar validate target 8479 8479 fix async_semaphore deadlock fail speculation primary command fail 8374 8374 fix miss digest m.jar 8447 8447 use jvm option rsc subsystem rsc invocation 8434 8434 refactoring improvements tooling ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ restore pycodestyle 8471 8471 remove enum consolidate standard library enum 8475 8475 8467 type check core base code 8462 8462 code issues 900 pull request 121 project wiki security insights explicitly delete file write materialize_directory api 8436 8436 squashed commit follow 8302 8302 revert modify engine.objects.collection work type hint 8467 8476 8467 8476 use collection enum nailgun task relate code 8461 8461 use collection enum instead enum 8443 8443 prepare 1.21.0 8474 8474 modify engine.objects.collection work type hint 8467 8467 use partially_type_checke tag incremental type hinting pants repo 8464 8464 use duration f64 8396 issue 54361 8396 documentation ~~~~~~~~~~~~~ propose guidance contentious decision 8438 8438 1.22.0.dev2 10/13/2019 ------------------------ api changes ~~~~~~~~~~~ deprecate mypy version flag add new version flag 8463 issue 7627 8463 fix tensorflow==1.14 globbe platform specific native_lib_name 8378 8378 error user explicitly try test non test tgt 8402 8402 new features ~~~~~~~~~~~~ allow ignore flake error addition code 8444 8444 allow extra remote execution header set 8430 8430 start create binary goal support python 8399 8399 add support run pant python 3.8 8415 8415 bugfixes ~~~~~~~~ send cumulative_timing recorded_option stat 8456 8456 fix double check cache digest 8416 8416 panic create_scheduler 8428 8428 junit run apply platform args junit run java exec 8421 8421 shade nailgun package 8418 8418 subsystem dep explicit rsc compile 8406 8406 refactoring improvements tooling ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ improve support enum` option type 8458 8458 port 8466 8466 fix pantsrunintegrationtest.mock_buildroot work --chroot 8465 8465 use string python task 8449 8449 run fuse test osx 8453 8453 issue 10017 replace majority remain datatype()`s @dataclass 8435 8435 use string pant daemon 8448 8448 add collection enum class extend stdlib enum ~pattern matching 8451 8451 use travis wait enhance shard remoting enable 8446 8446 add file allow clean look git blame 8404 8404 remove @_algebraic_data decorator support @dataclass mypy 8437 8437 run testproject integration test test runner 8426 8426 restore running chroot 8433 8433 replace datatype instance @dataclass 8423 8423 add @frozen_after_init decorator @dataclass use safe 8431 8431 type check replace singleton singletonmetaclass 8424 8424 set internal pants.ini use chroot pytest runner 8425 8425 test discovery precise 8395 8395 remote execution set requestmetadata proto header 8373 8373 run pant plugin test remote execution 8413 8413 add type hint 8401 8401 revert format python code black 8391 8409 8409 1.22.0.dev1 10/04/2019 ------------------------ api changes ~~~~~~~~~~~ depreciate resolve.ivy 8364 8364 deprecate @rule ... favor @rule 8360 8360 new features ~~~~~~~~~~~~ add black support rule 8350 8350 use new pyflake internal python linter 8359 8359 bugfixes ~~~~~~~~ revert fix export test failure unrevert 8370 8380 8386 8386 fix typo 8372 8372 fix export test failure unrevert 8370 8380 8380 revert add scala_platform export output metal 8370 8379 8379 longer cache fail executeprocessresult`s 8291 8291 refactoring improvements tooling ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ follow critical path algorithm 8381 8381 pex creation generic 8289 8289 replace usage datatype @dataclass 8362 8362 port backend project info integration test 8361 8361 port engine legacy integration test 8363 8363 add scala_platform export output metal 8370 8370 remove superfluous import 8376 8376 update rust 1.38.0 8367 8367 port integration test chroot 8365 8365 upgrade openssl osx rust test shard 8383 8383 1.22.0.dev0 09/28/2019 ------------------------ api changes ~~~~~~~~~~~ support dry type annotate @rule 8330 8330 upgrade spin crate patch vulnerability 8320 8320 new features ~~~~~~~~~~~~ add --transitive flag consoletask 8224 8224 support mypy plugin 3rdpary type definition 8328 8328 enable incremental compile zinc hermetic add scratch input digest local executeprocessrequest 8282 8282 bugfixes ~~~~~~~~ handle blank description print_goals_help 8088 8088 sure pex execution hermetic 8335 8335 refactoring improvements tooling ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ modify isort config prepare black formatting 8332 8332 use unwrap_or_else unwrap_or 8341 8341 use double quote string file prepare black 8333 8333 allow @rule`s end yield ... 8227 8227 rule strip source root 8326 8326 introduce hash_utils.hash_dir 8327 8327 documentation ~~~~~~~~~~~~~ fix number build wheel shard release doc 8325 8325 add project link pypi 8322 8322
63,vim set fileencode utf-8 aug 16:52:25 cest 2016 image target image target image target image target image target image target image target face database interface bob package signal processing machine learning toolbox bob package contain interface evaluation protocol face database package contain original face datum file need obtain link installation ------------ complete bob installation instruction install package run conda install bob.db.arface contact ------- question report issue software package contact development mailing list place reference bob installation mailing list face
64,sskjpy slovenian dictionary api write python use official sskj website simple example code python sskjpy import sskjparser keyword test search sskjparser(keyword code python print(search.shortsum postopek ugotavljanje določenih lastnosti sposobnosti znanja koga preizkus print(search.result tést ẹ̑ postopek ugotavljanje določenih lastnosti sposobnosti znanja koga preizkus opraviti test testom ugotavljati sposobnosti objektivnost veljavnost zanesljivost example find github
65,"aiot studio aiot studio official library develop datasource notebook dependency set mnubo aiot documentation aiotstudio.html installation requirement python 2.7 python 3.4 request panda 0.20 numpy pip install aiot studio simple datasource usage python aiotstudio.search import to_pandas aiotstudio.logge import log def execute(parameters log.info(""hello aiot studio result to_pandas event select count return result configuration library need configure mnubo api documentation api_security.html credential share follow decrease order priority environment variable mnubo_client_id mnubo_client_secret mnubo_api_url local config file application.conf root project indicate mnubo_config_file environment variable global config file ~/.settings mnubo application.conf c:\users\<username>\.settings\mnubo\application.conf windows option configuration file look like default mnubo_client_id api_client_id mnubo_client_secret api_client_secret mnubo_api_url available package search blobstore logging note search method expect mql query describe search documentation api_search.html documentation blob store method available code run inside mnubo architecture locally throw featureunavailableerror"
